№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
8532,28/02 15:00,Вилла Брайт Старз,–1.0 +1.0,2.45 1.49  ,2.0,1.84,1.86  ,1.73,3.15,4.60  ,1.17,1.33,2.03  ,1.5 1.0,2.18 3.35,1.61 1.28  
8531,28/02 15:30,Кьетум Ондупарака,0 0,1.66 2.10  ,2.0,1.83,1.87  ,2.37,2.85,3.00  ,1.36,1.39,1.55  ,1.0 1.0,1.82 2.17,1.89 1.61  
