№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
3589,27/02 17:30,Египет U-20 Ирак U-20,–1.0 +1.0,1.77 1.94  ,2.0,1.68,2.06  ,1.42,3.85,6.70  ,1.09,1.23,2.75  ,1.5 1.0,1.79 4.70,1.91 1.15  
3291,27/02 17:30,Сенегал U-20 Бахрейн U-20,–1.5 +1.5,1.92 1.78  ,3.0,2.03,1.70  ,1.31,4.80,7.30  ,1.07,1.16,3.25  ,2.0 1.0,1.75 3.30,1.97 1.28  
