№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2,2:0,2:1,1:2,0:2,iТ,Б,М
3632,27/02 15:25,Дрейпер Джек Фурнесс Эван,–3.5 +3.5,1.90 1.81  ,21.5,1.85,1.85  ,1.44,2.58  ,2.15,3.50,5.00,4.15  ,12.5 11.5,1.91 1.79,1.80 1.92  
 ,1-й сет:,–1.5 +1.5,1.75 1.97,9.5,1.91,1.80,1.53,2.35, 
 ,2-й сет:, , ,1.54,2.33, 
4434,27/02 15:40,Мридха Джонатан Ройер Валентин,–2.5 +2.5,1.79 1.91  ,21.5,1.87,1.84  ,1.54,2.32  ,2.33,3.65,4.70,3.69  ,12.5 11.5,1.99 1.69,1.73 2.05  
 ,1-й сет:,–1.5 +1.5,1.83 1.87,9.5,1.94,1.77,1.61,2.18, 
 ,2-й сет:, , ,1.62,2.16, 
