№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2
2538,28/02 10:00,APK Prince DragonX,+1.5 –1.5,2.80 1.40  ,2.5,3.20,1.32  ,7.00,1.08  
 ,1-я карта:,+7.5 –7.5,1.80 1.95, , , 
2540,28/02 13:00,T1 SANDBOX,–1.5 +1.5,2.20 1.62  ,2.5,2.20,1.62  ,1.36,3.00  
 ,1-я карта:,–5.5 +5.5,1.90 1.85, , , 
2551,29/02 10:00,KT Rolster Hanwha Life,+1.5 –1.5,1.63 2.20  ,2.5,2.20,1.63  ,2.90,1.38  
 ,1-я карта:,+5.5 –5.5,1.78 1.97, , , 
2553,29/02 13:00,DAMWON Afreeca Freecs,+1.5 –1.5,1.46 2.60  ,2.5,2.00,1.75  ,2.30,1.57  
 ,1-я карта:,+4.5 –4.5,1.62 2.20, , , 
2557,01/03 10:00,Gen.G APK Prince,–1.5 +1.5,1.36 3.00  ,2.5,3.45,1.28  ,1.06,8.00  
 ,1-я карта:,–7.5 +7.5,1.95 1.80, , , 
2563,01/03 13:00,DragonX Griffin,–1.5 +1.5,2.00 1.75  ,2.5,2.20,1.63  ,1.30,3.30  
 ,1-я карта:,–5.5 +5.5,1.87 1.87, , , 
