№,Дата,Событие
4762,07/04 09:00,1 Александр Овечкин по итогам сезона НХЛ 2019-2020
595,07/04 09:00,3 Александр Овечкин превзойдет рекорд Уэйна Гретцки по забитым голам (текущий рекорд 894)
