№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2
4699,27/02 15:25,Astralis Fnatic,–1.5 +1.5,2.11 1.68  ,2.5,2.15,1.65  ,1.35,3.05  
 ,1-я карта:,–3.5 +3.5,1.90 1.85,26.5,1.90,1.85,1.52,2.42, 
 , ,–2.5 +2.5,1.68 2.11,25.5,1.65,2.05, , 
 , ,–4.5 +4.5,2.31 1.57,27.5,2.42,1.55, , 
6599,27/02 16:30,Natus Vincere FaZe,–1.5 +1.5,3.30 1.30  ,2.5,1.90,1.85  ,1.85,1.90  
 ,1-я карта:,+2.5 –2.5,1.70 2.08,26.5,1.85,1.90,1.95,1.80, 
 , ,–2.5 +2.5,2.25 1.60,27.5,2.30,1.58, , 
 , ,–3.5 +3.5,2.62 1.45,25.5,1.58,2.30, , 
7974,27/02 20:00,G2 Liquid,+1.5 –1.5,1.40 2.80  ,2.5,1.92,1.82  ,2.20,1.62  
 ,1-я карта:,+2.5 –2.5,1.80 1.95,26.5,1.90,1.85,2.08,1.70, 
 , ,–2.5 +2.5,2.48 1.50,25.5,1.60,2.25, , 
 , ,+3.5 –3.5,1.60 2.25,27.5,2.35,1.55, , 
