№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
6183,27/02 18:00,Беларусь (юн.) Бобруйск,–1.0 +1.0,2.11 1.68  ,6.0,1.99,1.76  ,1.84,4.50,3.00  ,1.36,1.18,1.90  ,3.0 2.5,1.71 1.91,2.06 1.83  
 ,1-й пер.:,0 0,1.62 2.21,1.5,1.78,1.97,2.35,2.75,3.20, , 
 ,2-й пер.:,0 0,1.60 2.25,1.5,1.52,2.44,2.23,3.05,3.10, , 
 ,3-й пер.:,0 0,1.60 2.25,1.5,1.53,2.39,2.21,3.05,3.10, , 
6182,27/02 18:00,Витебск Авиатор Барановичи,+2.0 –2.0,1.83 1.91  ,6.0,1.88,1.86  ,5.70,5.00,1.38  ,2.90,1.15,1.12  ,2.0 4.0,1.97 1.95,1.78 1.80  
 ,1-й пер.:,+1.0 –1.0,1.40 2.80,1.5,1.71,2.07,4.50,3.00,1.85, , 
 ,2-й пер.:,+1.0 –1.0,1.52 2.41,2.5,2.40,1.53,4.50,3.35,1.74, , 
 ,3-й пер.:,+1.0 –1.0,1.47 2.55,1.5,1.53,2.39,4.50,3.20,1.78, , 
