№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2
1290,28/02 14:00,HAVU hREDS,–1.5 +1.5,1.36 3.00  ,2.5,3.20,1.32  ,1.08,7.00  
 ,1-я карта:,–6.5 +6.5,1.87 1.87,24.5,1.87,1.87,1.15,5.00, 
1234,28/02 19:00,SJ KOVA,+1.5 –1.5,1.28 3.45  ,2.5,1.90,1.84  ,2.00,1.76  
 ,1-я карта:,+2.5 –2.5,1.72 2.05,26.5,1.78,1.97,1.90,1.85, 
