№,Дата,Событие,П1,П2
3985,28/02 09:00,Айдукович Дуйе Марошан Фабиан,1.60,2.19  
6713,28/02 09:00,Аму Максим Качин Педро,2.45,1.49  
6651,28/02 09:00,Форейтек Йонас Кузманов Димитар,1.99,1.73  
