№,Дата,Событие,П1,X,П2
8737,29/02 23:00,Петчпаномрунг Кайтмукао Сергей Адамчук,1.35, ,3.00  
8750,29/02 23:00,Тиджани Безтати Майкл Паландре,1.55, ,2.35  
8743,29/02 23:00,Хамича Дмитрий Меньшиков,1.87, ,1.87  
8748,29/02 23:00,Юсри Белгароуи Якоб Стайбен,1.35, ,3.00  
