№,Дата,Событие,Т,Б,М,П1,П2
1669,27/02 16:35,Десперье Гаэль Криcтиан Жаклин Адина,20.5,1.85,1.85  ,2.29,1.55  
3762,27/02 15:30,Доден Осеан Розателло Камилла," ",1.07,6.93  
