№,Дата,Событие,П1,П2
3305,27/02 16:00,Фрухвиртова Линда Кольцер Роми,1.62,2.15  
4536,27/02 16:35,Рушити Арлинда Вагнер Стефани,4.38,1.17  
6625,27/02 17:30,Схофс Бибиана  Нимайер Жюль,1.53,2.34  
2094,27/02 20:00,Цайя Анна Шунк Настасья Мариана,1.17,4.42  
