№,Дата,Событие,П1,X,П2,1X,12,X2
3314,29/02 15:00,Лада (ж) Оденсе (ж),2.64,8.80,1.73  ,2.03,1.05,1.45  
6415,01/03 15:00,Кастамону Блд. (ж) Шиофок (ж),6.98,13.4,1.17  ,4.70,1.01,1.08  
6214,01/03 16:00,Подравка Вегета (ж) Тюрингер (ж),1.42,9.88,3.78  ,1.25,1.03,2.75  
6742,01/03 18:00,Бистрица (ж) Хернинг-Икаст (ж),2.14,8.25,2.08  ,1.70,1.05,1.66  
