№,Дата,Событие,П1,X,П2
8902,27/02 22:00,Vicious Cream,2.90,2.00,3.60  
8903,28/02 00:00,InFamous Luxor,1.40,3.10,12.0  
8904,28/02 02:00,InFamous 0-900,2.15,2.15,5.40  
