№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2
6217,27/02 18:00,Раднички Крагуевац Млади Радник,–3.5 +3.5,1.91 1.83  ,184.5,1.87,1.87  ,1.66,2.14  
 ,1-й сет:,–2.5 +2.5,2.37 1.55,45.5,1.70,2.08,1.75,2.01, 
 ,2-й сет:,–2.5 +2.5,2.37 1.55,45.5,1.70,2.08,1.75,2.01, 
 ,3-й сет:,–2.5 +2.5,2.37 1.55,45.5,1.70,2.08,1.75,2.01, 
