№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2
3029,27/02 17:00,Natus Vincere Junior HellRaisers,+1.5 –1.5,1.47 2.55  ,2.5,1.95,1.80  ,2.48,1.50  
 ,1-я карта:,+2.5 –2.5,1.95 1.80,26.5,1.85,1.90,2.25,1.60, 
