№,Дата,Событие,П1,П2
7157,27/02 20:00,Парри Дайан Шрамкова Ребекка,3.20,1.30  
9320,27/02 21:00,Баптист Хэйли Данилович Ольга,1.65,2.11  
9321,27/02 21:30,Абанда Франсуаза Ю Сяоди,1.31,3.13  
9421,27/02 23:00,Викмайер Янина Лоеб Джейми,1.40,2.73  
