№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
3059,27/02 20:00,Калгари Хитмен Виннипег Айс,–1.0 +1.0,2.12 1.71  ,6.5,1.80,2.01  ,1.87,5.50,3.00  ,1.38,1.14,1.91  ,3.5 3.0,1.82 1.99,1.98 1.82  
 ,1-й пер.:,0 0,1.66 2.23,1.5,1.55,2.46,2.33,3.10,3.10,1.33,1.33,1.57, 
 , ,–1.5 +1.5,4.90 1.16,3.5,5.10,1.14, , , 
 , ,–1.0 +1.0,3.90 1.23,2.5,2.60,1.45, , , 
 ,2-й пер.:,0 0,1.63 2.20,2.5,2.11,1.68,2.25,3.40,3.05,1.35,1.29,1.60, 
 , ,–1.5 +1.5,4.30 1.19,3.5,3.80,1.25, , , 
 , ,–1.0 +1.0,3.50 1.28,1.5,1.36,3.00, , , 
 ,3-й пер.:,0 0,1.62 2.20,2.5,2.23,1.61,2.25,3.35,3.05, , 
