№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,iТ,Б,М
763,27/02 18:00,МБА Москва (ж) Динамо Москва (ж),–26.5 +26.5,1.90 1.84  ,144.5,1.83,1.91  ," ",85.5 59.5,1.86 1.91,1.88 1.83  
 ,1-я четв.:,–7.5 +7.5,1.79 1.96,36.5,1.91,1.83,1.11,15.0,7.00, 
 ,2-я четв.:,–6.5 +6.5,1.78 1.97,35.5,1.85,1.89,1.15,14.0,5.80, 
 ,3-я четв.:,–5.5 +5.5,1.79 1.96,35.5,1.79,1.96,1.22,13.0,4.70, 
 ,4-я четв.:,–5.5 +5.5,1.90 1.84,37.5,1.96,1.78,1.25,12.5,4.20, 
 ,Первая половина:,–14.5 +14.5,1.82 1.92,72.5,1.93,1.81, , 
