№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
7694,27/02 16:00,Металлург Череповец Прогресс,–1.0 +1.0,2.23 1.61  ,6.0,1.87,1.87  ,1.95,4.20,2.85  ,1.39,1.20,1.80  ,3.0 2.5,1.71 1.78,2.06 1.97  
7701,27/02 16:00,МХК Кристалл Саратов Тверичи,–1.0 +1.0,2.08 1.70  ,6.0,1.74,2.02  ,1.83,4.60,3.00  ,1.36,1.17,1.91  ,3.5 2.5,1.96 1.76,1.78 1.99  
7704,27/02 17:00,Полет Рыбинск Олимпия,+1.0 –1.0,1.85 1.89  ,6.0,1.87,1.87  ,3.40,4.50,1.71  ,2.06,1.18,1.29  ,2.5 3.5,1.97 1.94,1.78 1.81  
7702,27/02 17:00,Россошь Динамо-Юниор СПб,+1.0 –1.0,1.71 2.06  ,5.5,1.87,1.87  ,3.20,4.20,1.82  ,1.92,1.20,1.32  ,2.5 3.0,2.12 1.82,1.68 1.92  
