№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
3520,27/02 17:00,Либерец (мол.) Дукла Йиглава (мол.),–1.0 +1.0,2.03 1.73  ,6.5,1.87,1.87  ,1.79,4.80,3.00  ,1.36,1.16,1.96  ,3.5 2.5,1.83 1.68,1.91 2.11  
3522,27/02 18:00,Комета Брно (мол.) Пардубице (мол.),+2.5 –2.5,1.78 1.97  ,8.0,1.85,1.89  ,5.00,6.60,1.33  ,3.15,1.09,1.15  ,3.0 5.0,2.07 1.82,1.71 1.93  
3523,27/02 18:30,Оломоуц (мол.) Маунтфилд ГК (мол.),–1.0 +1.0,2.14 1.67  ,7.5,1.87,1.87  ,1.87,5.10,2.70  ,1.44,1.14,1.87  ,4.0 3.5,1.90 2.00,1.85 1.76  
