№,Дата,Событие,П1,X,П2
4103,27/02 16:00,Nemiga 212,1.60,2.70,8.00  
4105,27/02 22:00,RED CODE URSUS,8.00,2.70,1.60  
7527,28/02 16:00,Aggressive Mode Cyberium,1.90,2.30,6.50  
7528,28/02 18:00,Singularity Empire Hope,2.00,2.25,5.80  
