№,Дата,Событие,Фора,КФ,П1,X,П2,1X,12,X2
5438,17/03 12:00,Гири Аниш Непомнящий Ян,0 0,1.54 2.37  ,4.40,1.44,6.75  ,1.09,2.65,1.19  
5475,17/03 12:00,Грищук Александр Алексеенко Кирилл,0 0,1.11 5.85  ,2.95,1.50,15.5  , ,2.48,1.37  
5476,17/03 12:00,Дин Лижэнь Ван Хао,0 0,1.27 3.54  ,4.10,1.35,11.5  ,1.02,3.05,1.21  
5485,17/03 12:00,Раджабов Теймур Каруана Фабиано,0 0,2.12 1.67  ,7.60,1.30,5.95  ,1.11,3.35,1.07  
