№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
6230,28/02 21:30,Генк (ж) Андерлехт (ж),+2.0 –2.0,1.90 1.81  ,3.5,1.78,1.92  ,10.0,6.50,1.17  ,4.70,1.09,1.03  ,1.0 3.0,2.90 2.07,1.36 1.67  
6231,28/02 21:30,Гент (ж) Ауд-Хеверле Лёвен (ж),–2.5 +2.5,1.87 1.83  ,4.5,1.81,1.89  ,1.13,7.80,10.5  ,1.03,1.06,5.40  ,3.5 1.0,1.87 1.99,1.83 1.73  
