№,Дата,Событие,П1,X,П2
3551,28/02 05:00,Serenity Black,1.45,3.00,11.0  
3554,28/02 07:00,Sirius Black Knight,1.55,2.75,9.00  
3567,28/02 09:00,Aster.Aries Keen Gaming.Luminous,3.80,2.00,2.80  
3573,28/02 11:00,Sirius Serenity,5.00,2.20,2.15  
