№,Дата,Событие,Т,Б,М,П1,X,П2,1X,12,X2
3415,27/02 20:00,Вестерос Боллнес,8.5,1.85,1.86  ,1.84,6.23,2.65  ,1.44,1.10,1.90  
3611,27/02 20:00,Вилла-Лидчёпинг АИК,8.5,1.75,1.97  ,1.15,10.2,8.59  ,1.05,1.03,5.00  
2581,28/02 20:00,Лидчёпинг Аик Сириус," ",7.24,8.41,1.21  ,4.10,1.05,1.07  
2584,28/02 20:00,Фалу Фриллесос," ",4.28,6.31,1.45  ,2.65,1.10,1.20  
