№,Дата,Событие,П1,П2,№,Дата,Событие,П1,П2
8519,28/02 08:40,Коллингвуд Мегпайс (ж) Мельбурн Димэнс (ж),2.12,1.67  
2442,29/02 06:10,Ричмонд Тайгерс (ж) Джилонг Кэтс (ж),3.71,1.25  
2761,29/02 08:10,Норт Мельбурн Кенгэруз (ж) Голд Коуст Санс (ж),1.15,4.92  
2338,29/02 10:10,Уэст Коуст Иглз (ж) Вестерн Буллдогз (ж),3.68,1.25  
6195,01/03 04:10,Аделаида Краунс (ж) Карлтон Блюз (ж),1.48,2.53  
6194,01/03 06:10,Сент-Кильда Сэйнтс (ж) Фримантл Докерс (ж),3.54,1.27  
6196,01/03 08:10,Брисбен Лайонз (ж) Вестерн Буллдогз (ж),1.47,2.56  
