№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2,2:0,2:1,1:2,0:2,iТ,Б,М
2180,27/02 15:30,Калениченко Данило Разборшек Ник,–4.5 +4.5,1.86 1.84  ,20.5,1.89,1.82  ,1.28,3.32  ,1.81,3.50,5.90,5.49  ,12.5 9.5,1.99 1.86,1.73 1.85  
 ,1-й сет:,–2.5 +2.5,2.18 1.61,9.5,2.12,1.65,1.38,2.81, 
 ,2-й сет:, , ,1.39,2.78, 
2271,27/02 15:25,Клейн Лукаш Легечка Иржи,–3.5 +3.5,1.89 1.82  ,22.5,1.92,1.79  ,1.35,2.93  ,2.01,3.35,5.20,4.94  ,12.5 11.5,1.70 1.82,2.04 1.88  
 ,1-й сет:,–1.5 +1.5,1.75 1.97, ,1.45,2.55, 
 ,2-й сет:, , ,1.46,2.52, 
