№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2
8149,28/02 05:00,CDEC EHOME.Immortal,–1.5 +1.5,1.50 2.48  ,2.5,2.48,1.50  ,1.15,5.00  
 ,1-я карта:,–10.5 +10.5,1.90 1.85,43.5,1.87,1.87, , 
8157,28/02 08:00,Sparking Arrow Gaming Serenity,–1.5 +1.5,2.25 1.60  ,2.5,1.95,1.80  ,1.40,2.80  
 ,1-я карта:,–7.5 +7.5,1.87 1.87,45.5,1.87,1.87, , 
