№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2
5722,27/02 21:00,Невшатель (ж) Лугано (ж),–18.5 +18.5,1.80 1.93  ,135.5,1.87,1.87  ,1.01,12.0  
 ,1-й сет:,–5.5 +5.5,1.85 1.87,43.5,1.72,2.05,1.16,4.80, 
 ,2-й сет:,–5.5 +5.5,1.85 1.87,43.5,1.72,2.05,1.16,4.80, 
 ,3-й сет:,–5.5 +5.5,1.85 1.87,43.5,1.72,2.05,1.16,4.80, 
