№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2
5097,27/02 21:00,Джо Перри Янь Бинтао,+1.5 –1.5,1.64 2.17  ,9.5,2.00,1.75  ,2.08,1.75  
5628,28/02 15:00,Марк Аллен Шон Мэрфи,+1.5 –1.5,1.62 2.21  ,9.5,2.00,1.76  ,2.03,1.79  
