№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
217,27/02 20:30,ДХГ Оденсе (ж) Сённерйюск (ж),+0.5 –0.5,1.85 1.89  ,51.5,1.96,1.78  ,2.30,7.65,1.87  ,1.87,1.07,1.58  ,25.5 25.5,1.97 1.79,1.77 1.96  
 ,1-й тайм:,+0.5 –0.5,1.82 1.92,25.5,1.95,1.79,2.21,8.34,1.92,1.78,1.04,1.59, 
650,27/02 20:30,Роскилле (ж) Рёдовре (ж),–3.5 +3.5,1.83 1.91  ,49.5,1.82,1.92  ,1.25,10.6,4.87  ,1.16,1.03,3.70  ,26.5 22.5,1.80 1.72,1.94 2.04  
 ,1-й тайм:,–2.5 +2.5,2.04 1.72,24.5,1.83,1.91,1.41,9.32,3.54,1.25,1.03,2.70, 
