№,Дата,Событие,Т,Б,М,П1,П2
7381,07/03 01:00,Кей Хансен Лиана Пиросин,2.5,2.30,1.57  ,1.17,4.65  
7383,07/03 01:30,Эмбер Браун Шарон Якобсон,2.5,1.55,2.35  ,2.75,1.42  
7384,07/03 02:00,Лиза Верзоса Юлия Столяренко,2.5,1.87,1.87  ,1.42,2.75  
