№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
3208,29/02 17:00,Бидасоа Ирун Висла Плоцк,–2.5 +2.5,1.94 1.87  ,50.5,1.94,1.87  ,1.45,10.2,3.52  ,1.27,1.03,2.65  ,26.5 23.5,1.93 1.73,1.81 2.03  
 ,1-й тайм:,–0.5 +0.5,1.72 2.05,24.5,1.82,1.92,1.68,8.07,2.63,1.42,1.04,2.06, 
3210,29/02 18:30,Вардар Монпелье,+1.5 –1.5,1.87 1.94  ,56.5,1.90,1.91  ,2.94,8.29,1.64  ,2.18,1.05,1.37  ,27.5 29.5,1.90 2.05,1.84 1.72  
 ,1-й тайм:,+0.5 –0.5,2.02 1.74,27.5,1.73,2.03,2.49,8.63,1.74,1.97,1.04,1.47, 
3531,29/02 18:30,Мешков Брест Порту,–0.5 +0.5,1.89 1.92  ,57.5,1.87,1.94  ,1.88,7.69,2.45  ,1.51,1.06,1.86  ,29.5 28.5,2.01 1.89,1.75 1.85  
 ,1-й тайм:,–0.5 +0.5,1.90 1.84,28.5,1.85,1.88,1.88,8.62,2.22,1.59,1.04,1.82, 
3169,29/02 18:30,Мотор Запорожье Веспрем,+5.5 –5.5,1.96 1.85  ,61.5,1.90,1.90  ,7.95,15.3,1.14  ,5.20, ,1.06  ,27.5 33.5,1.78 1.84,1.97 1.90  
 ,1-й тайм:,+3.5 –3.5,1.75 2.01,30.5,1.88,1.86,4.60,10.8,1.27,3.40,1.01,1.16, 
3182,29/02 19:00,Виве Кельце Киль,–1.5 +1.5,1.87 1.95  ,58.5,1.86,1.95  ,1.59,8.69,3.08  ,1.35,1.05,2.26  ,30.5 28.5,1.96 1.91,1.79 1.83  
 ,1-й тайм:,–0.5 +0.5,1.70 2.08,29.5,2.02,1.74,1.70,8.82,2.57,1.45,1.03,2.03, 
2601,29/02 21:00,Барселона Пик Сегед,–4.5 +4.5,1.93 1.88  ,59.5,1.90,1.91  ,1.20,12.7,6.22  ,1.10,1.01,4.20  ,31.5 27.5,1.73 1.90,2.04 1.84  
 ,1-й тайм:,–2.5 +2.5,1.87 1.87,29.5,1.88,1.86,1.35,9.98,3.87,1.22,1.02,2.95, 
6270,01/03 17:30,Динамо Бухарест Спортинг," "," ",1.53,8.86,3.30  ,1.30,1.05,2.40  ," "
6229,01/03 17:50,Ольборг Эльверум," "," ",1.11,15.7,9.39  ," "," "
6668,01/03 18:00,ПСЖ Загреб," "," ",1.02,29.7,17.5  ," "," "
