№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
5037,27/02 17:00,Поли Тимишоара Васлуй,–4.5 +4.5,2.01 1.75  ,52.5,1.98,1.77  ,1.20,11.3,5.55  ,1.12,1.02,4.20  ,28.5 23.5,2.03 1.75,1.73 2.01  
5039,27/02 17:00,Решица КСМ Фэгэраш,+2.5 –2.5,1.89 1.84  ,51.5,1.92,1.82  ,3.67,9.10,1.39  ,2.85,1.04,1.25  ,24.5 26.5,1.97 1.73,1.78 2.03  
5040,27/02 18:25,Стяуа Бухарест Потайсса Турда,–0.5 +0.5,1.77 1.98  ,56.5,1.85,1.88  ,1.74,7.67,2.52  ,1.49,1.06,2.02  ,28.5 27.5,1.78 1.79,1.96 1.96  
7907,28/02 18:00,Бузэу Минаур Байя-Маре,+2.5 –2.5,1.78 1.97  ,54.5,1.92,1.82  ,3.34,8.89,1.45  ,2.65,1.04,1.30  ,25.5 28.5,1.73 1.96,2.04 1.78  
