№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
247,29/02 01:00,Гуарена Либертад,+1.0 –1.0,1.52 2.44  ,2.5,2.03,1.73  ,4.50,3.50,1.79  ,1.96,1.28,1.18  ,1.0 1.5,2.48 1.97,1.50 1.78  
 ,1-й тайм:,0 0,2.75 1.42,1.0,1.99,1.76,4.80,2.17,2.50,1.49,1.64,1.16, 
 , ,+1.0 –1.0,1.13 5.40,2.0,6.40,1.09, , , 
 , ,+1.5 –1.5,1.08 6.90,1.5,3.00,1.35, , , 
 ,2-й тайм:,0 0,2.85 1.39,1.5,2.23,1.61,4.50,2.55,2.17,1.61,1.45,1.16, 
 , ,+1.0 –1.0,1.22 3.95,2.0,3.80,1.23, , , 
 , ,+1.5 –1.5,1.14 5.20,1.0,1.50,2.48, , , 
