№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,iТ,Б,М
531,27/02 21:30,Авенида Саламанка (ж) Спарта энд К (ж),–17.5 +17.5,1.84 1.90  ,140.5,1.83,1.91  ,1.03,27.2,9.88  ,79.5 61.5,1.89 1.86,1.85 1.88  
 ,1-я четв.:,–5.5 +5.5,1.91 1.83,35.5,1.87,1.87,1.20,16.6,4.68, 
 ,2-я четв.:,–4.5 +4.5,1.84 1.90,34.5,1.88,1.86,1.28,16.8,3.68, 
 ,3-я четв.:,–4.5 +4.5,1.86 1.88,34.5,1.94,1.81,1.28,16.3,3.71, 
 ,4-я четв.:,–3.5 +3.5,1.93 1.81,35.5,1.82,1.92,1.39,14.5,3.09, 
 ,Первая половина:,–9.5 +9.5,1.79 1.96,70.5,1.92,1.83,1.08,26.9,6.69, 
