№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2
3227,29/02 21:00,Нью-Йорк Гуардианс Лос-Анджелес Уайлдкэтс,+6.5 –6.5,2.05 1.72  ,39.5,1.90,1.84  ,3.47,1.28  
6682,01/03 00:00,Сент-Луис БэтлХокс Сиэтл Дрэгонс,–11.5 +11.5,1.90 1.84  ,38.5,1.88,1.85  ,1.16,4.82  
6681,01/03 23:00,Даллас Ренегейдс Хьюстон Рафнекс,+1.5 –1.5,1.93 1.81  ,49.5,1.81,1.93  ,2.01,1.75  
456,02/03 02:00,Тампа-Бэй Вайперс Дефендерс,+2.5 –2.5,1.93 1.81  ,44.5,1.92,1.82  ,2.07,1.70  
