№,Дата,Событие,Т,Б,М,П1,П2
5267,28/02 12:00,Радим Рахман Джефф Чан," ",1.80,1.95  
5776,28/02 12:15,Мурад Рамазанов Мен Хо Бэ,1.5,2.05,1.72  ,1.27,3.50  
5317,28/02 12:30,Риту Фогат Чао Чен Ву," ",1.22,4.00  
6247,28/02 12:45,Онорио Банарио Шеннон Виратчай,1.5,1.60,2.25  ,1.80,1.95  
6251,28/02 13:00,Трой Уортен Марк Абелардо,1.5,1.87,1.87  ,1.27,3.50  
1587,28/02 13:30,Мей Ямагучи Денис Замбоанга,1.5,1.30,3.30  ,1.55,2.45  
6262,28/02 14:30,Тиффани Тео Аяка Миура,1.5,1.50,2.48  ,2.30,1.57  
6288,28/02 14:50,Ёсихиро Акияма Шериф Мохамед,1.5,1.87,1.87  ,1.55,2.35  
6296,28/02 15:20,Амир Хан Кимихиро Это,1.5,2.30,1.57  ,1.50,2.60  
