№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
3158,28/02 23:45,Крус Асуль (ж) Некакса (ж),–1.0 +1.0,1.81 1.90  ,2.5,1.67,2.07  ,1.47,4.10,5.40  ,1.13,1.21,2.55  ,2.0 1.0,2.05 2.50,1.69 1.47  
5184,29/02 00:00,Керетаро (ж) УНАМ (ж),+1.0 –1.0,2.11 1.65  ,3.0,1.93,1.78  ,5.80,4.50,1.40  ,2.80,1.18,1.11  ,1.0 2.0,2.55 1.81,1.45 1.89  
5185,29/02 05:00,Хуарес (ж) Монтеррей (ж),+2.5 –2.5,1.68 2.06  ,3.5,1.82,1.88  ,13.5,7.20,1.11  ,5.90,1.07,1.01  ,1.0 3.0,3.70 1.98,1.23 1.74  
