№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2
6011,27/02 18:30,Казанлык (ж) Раковски (ж),+5.5 –5.5,1.82 1.92  ,182.5,1.86,1.88  ,2.33,1.57  
 ,1-й сет:,+2.5 –2.5,1.63 2.20,45.5,1.83,1.92,2.10,1.68, 
 ,2-й сет:,+2.5 –2.5,1.63 2.20,45.5,1.83,1.92,2.10,1.68, 
 ,3-й сет:,+2.5 –2.5,1.63 2.20,45.5,1.83,1.92,2.10,1.68, 
