№,Дата,Событие,Т,Б,М,П1,П2
431,06/03 15:45,Нурсултан Хасымханов Иван Жвирбля,1.5,1.35,3.00  ,1.42,2.75  
9673,03/04 18:00,1 Александр Емельяненко Магомед Исмаилов,0.5,1.80,1.95  ,1.82,1.92  
