№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
5927,27/02 20:00,Балинген Магдебург,+4.5 –4.5,1.73 2.03  ,57.5,1.88,1.93  ,5.82,11.6,1.23  ,3.90,1.02,1.11  ,26.5 30.5,1.80 1.76,1.95 1.99  
 ,1-й тайм:,+2.5 –2.5,1.79 1.96,28.5,1.86,1.88,3.66,9.71,1.38,2.80,1.02,1.23, 
5949,27/02 20:00,Лемго Вецлар,–0.5 +0.5,1.77 1.98  ,54.5,1.88,1.85  ,1.79,7.62,2.63  ,1.45,1.07,1.96  ,27.5 26.5,1.80 1.81,1.94 1.93  
 ,1-й тайм:,–0.5 +0.5,1.86 1.88,26.5,1.73,2.03,1.86,8.53,2.28,1.55,1.04,1.84, 
5499,27/02 20:00,Мельзунген Бергишер,–3.5 +3.5,2.02 1.74  ,51.5,1.97,1.77  ,1.34,10.6,4.31  ,1.19,1.03,3.10  ,27.5 23.5,2.04 1.74,1.73 2.02  
 ,1-й тайм:,–1.5 +1.5,1.80 1.94,25.5,1.96,1.79,1.50,8.75,3.14,1.31,1.03,2.41, 
5948,27/02 20:00,Фюхсе Берлин Нордхорн-Линген,–7.5 +7.5,1.83 1.91  ,55.5,1.94,1.80  ,1.06,21.4,13.0  ," "," "
6310,27/02 20:00,Эрланген Людвигсхафен,–2.5 +2.5,1.74 2.02  ,48.5,1.78,1.97  ,1.36,10.4,4.16  ,1.21,1.03,3.00  ,26.5 22.5,2.05 1.74,1.72 2.02  
 ,1-й тайм:,–1.5 +1.5,1.81 1.93,24.5,1.96,1.79,1.51,8.81,3.09,1.32,1.03,2.39, 
3509,29/02 21:30,Рейн-Неккар-Лёвен Ганновер-Бургдорф,–3.5 +3.5,1.88 1.86  ,57.5,1.83,1.98  ,1.29,10.9,4.96  ,1.15,1.02,3.40  ,30.5 27.5,1.81 2.03,1.93 1.73  
 ,1-й тайм:,–1.5 +1.5,1.71 2.06,28.5,1.83,1.91,1.44,9.23,3.36,1.28,1.03,2.60, 
3065,29/02 21:45,Лейпциг Минден,–2.5 +2.5,1.76 1.99  ,53.5,2.01,1.81  ,1.37,10.2,4.16  ,1.21,1.03,2.95  ,27.5 24.5,1.72 1.71,2.05 2.06  
 ,1-й тайм:,–1.5 +1.5,1.83 1.91,26.5,1.96,1.79,1.52,8.74,3.07,1.32,1.03,2.37, 
6579,01/03 14:30,Гёппинген Фленсбург-Хандевитт," "," ",5.83,11.0,1.24  ,3.80,1.02,1.11  ," "
