№,Дата,Событие,П1,П2
7584,27/02 15:30,Серундоло Хуан Мануэль Родригес-Таверна Сантьяго-Фа,1.48,2.46  
6131,27/02 15:30,Уго Карабелли Камило Галарса Хуан Игнасио,1.59,2.22  
7585,27/02 15:30,Хусто Гуидо Иван Кестельбойм Мариано,4.67,1.15  
5696,27/02 17:00,Эхеа Франко-Эмануель Диас Акоста Факундо,3.15,1.31  
411,27/02 17:30,Соржи Жоао Педро Баррачага Роман Андрес,1.36,2.90  
133,27/02 18:00,Агаменоне Франко Тирант Тьяго Агустин,1.94,1.77  
7886,28/02 01:00,Идальго Габриель-Алехандро Аргуельо Факундо,6.55,1.08  
