№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
1704,29/02 13:00,Астана Кайсар,–1.0 +1.0,1.87 1.87  ,2.5,1.99,1.76  ,1.52,4.00,6.10  ,1.10,1.22,2.44  ,1.5 1.0,1.74 3.40,2.02 1.29  
 ,1-й тайм:,0 0,1.27 3.60,1.0,1.92,1.83,2.14,2.28,6.20,1.10,1.58,1.66, 
 , ,–1.5 +1.5,5.40 1.13,2.0,6.00,1.11, , , 
 , ,–1.0 +1.0,4.10 1.21,1.5,2.90,1.38, , , 
 ,2-й тайм:,–1.0 +1.0,3.10 1.33,1.5,2.21,1.62,1.89,2.65,5.80,1.10,1.42,1.81, 
 , ,–1.5 +1.5,4.20 1.20,2.0,3.80,1.23, , , 
 , ,0 0,1.25 3.80,1.0,1.50,2.48, , , 
