№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
4505,28/02 01:00,Блэкбёрдс Эллертон,0 0,2.23 1.58  ,3.0,1.76,1.95  ,2.85,3.75,2.02  ,1.74,1.25,1.39  ,1.5 1.5,2.12 1.74,1.64 1.98  
 ,1-й тайм:,0 0,2.18 1.61,1.5,2.26,1.57,3.40,2.37,2.50,1.47,1.52,1.27, 
 , ,+1.0 –1.0,1.13 5.20,1.0,1.52,2.35, , , 
 ,2-й тайм:,0 0,2.10 1.66,1.5,1.66,2.08,3.00,2.80,2.37,1.52,1.38,1.33, 
 , ,+1.0 –1.0,1.18 4.30,2.0,2.28,1.55, , , 
